City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
109,xiaoshi,74,CN,1571105968,47,30.59,116.63,65.04800000000003,8.773
110,chumikan,0,RU,1571105532,39,54.72,135.31,36.42800000000007,8.381
111,erenhot,0,CN,1571105968,19,43.65,111.97,41.93600000000007,1.3
112,mahebourg,40,MU,1571105457,100,-20.41,57.7,69.00800000000001,2.6
113,georgetown,20,GY,1571105547,94,6.8,-58.16,82.4,1.0
114,east london,5,ZA,1571105465,67,-33.02,27.91,64.83200000000002,9.523
115,turukhansk,100,RU,1571105969,98,65.8,87.96,39.77600000000009,3.517
116,avera,1,US,1571105625,82,33.19,-82.53,69.80000000000001,0.984
117,riyadh,0,SA,1571105969,49,24.63,46.72,71.6,1.861
118,esperance,75,AU,1571105457,82,-33.86,121.89,55.400000000000006,9.8
119,saint george,0,GR,1571105554,93,39.45,22.34,55.400000000000006,0.355
120,muros,20,ES,1571105969,93,42.77,-9.06,57.00200000000008,2.6
121,claremore,20,US,1571105970,77,36.31,-95.62,68.0,5.7
122,inhambane,4,MZ,1571105607,80,-23.87,35.38,72.01400000000004,4.546
123,tura,100,RU,1571105630,97,64.27,100.22,32.46800000000009,1.124
124,caucaia,40,BR,1571105970,78,-3.73,-38.66,78.99800000000002,5.7
125,umm lajj,41,SA,1571105548,34,25.02,37.27,76.53200000000001,0.981
126,geraldton,75,CA,1571105560,75,49.72,-86.95,41.0,3.6
127,aguas formosas,26,BR,1571105971,91,-17.08,-40.94,64.56200000000007,0.968
128,gat,20,SN,1571105460,94,14.69,-16.54,77.0,3.6
129,palmer,9,AU,1571105971,59,-34.85,139.16,71.00600000000003,3.1
130,preobrazheniye,0,RU,1571105971,33,42.9,133.91,47.93000000000004,1.947
131,luanda,75,AO,1571105971,94,-8.83,13.24,73.4,1.5
132,dicabisagan,7,PH,1571105972,76,17.08,122.42,81.35600000000002,4.703
133,marzuq,0,YE,1571105447,53,14.4,46.47,67.334,0.424
134,chistoye,90,RU,1571105972,87,56.54,43.0,51.8,5.0
135,yangambi,100,CD,1571105972,98,0.77,24.47,69.35,0.369
136,san policarpo,17,PH,1571105972,72,12.18,125.51,83.75,4.947
137,nador,49,MA,1571105973,72,35.17,-2.93,66.2,3.1
138,saint anthony,1,US,1571105973,34,43.97,-111.68,51.8,3.6
139,chateauroux,100,FR,1571105973,93,43.72,0.65,55.400000000000006,5.1
140,marquette,40,US,1571105974,80,46.54,-87.4,42.8,2.237
141,kamuli,100,UG,1571105974,98,0.94,33.12,63.104000000000056,0.589
142,anantapur,84,IN,1571105975,76,14.68,77.61,78.62000000000006,4.415
143,tasiilaq,0,GL,1571105450,80,65.61,-37.64,32.0,3.6
144,fruitvale,33,CA,1571105975,59,49.12,-117.55,42.998000000000026,1.275
145,alekseyevsk,100,RU,1571105976,91,57.84,108.35,37.022000000000034,3.108
146,coahuayana,93,MX,1571105976,93,18.62,-100.35,73.74199999999999,0.983
147,praia da vitoria,75,PT,1571105594,72,38.73,-27.07,66.2,9.069
148,mayumba,98,GA,1571105462,89,-3.44,10.65,75.7760000000001,1.718
149,lagoa,0,PT,1571105561,76,37.14,-8.45,57.2,4.6
150,mar del plata,0,AR,1571105450,75,-46.43,-67.52,45.860000000000085,3.217
151,hami,0,CN,1571105566,21,42.84,93.51,57.74000000000002,4.312
152,ponta delgada,75,PT,1571105977,72,37.73,-25.67,71.00600000000003,6.7
153,port pirie,95,AU,1571105977,63,-33.18,138.01,62.6,2.6
154,qaanaaq,100,GL,1571105463,85,77.48,-69.36,21.470000000000063,4.802
155,jacareacanga,87,BR,1571105977,97,-6.22,-57.76,72.35600000000002,1.855
156,samoylovka,0,RU,1571105977,75,51.19,43.71,54.14000000000002,6.72
157,frontera,40,MX,1571105977,94,18.53,-92.64,78.80000000000001,1.764
158,iwaki,40,JP,1571105978,63,37.05,140.89,69.99800000000002,4.6
159,alofi,75,NU,1571105587,74,-19.06,-169.92,78.80000000000001,5.1
160,brzeziny,2,PL,1571105978,93,51.8,19.75,57.00200000000008,2.1
161,berlevag,96,NO,1571105536,72,70.86,29.09,37.61600000000001,1.356
162,tooele,1,US,1571105978,45,40.53,-112.3,55.400000000000006,3.6
163,oktyabrskiy,93,RU,1571105979,67,55.61,37.97,57.2,3.0
164,namibe,26,AO,1571105559,83,-15.19,12.15,69.584,4.723
165,kodiak,1,US,1571105545,67,39.95,-94.76,60.998000000000026,4.395
166,kailua,20,US,1571105614,65,21.39,-157.74,87.80000000000001,5.7
167,wanning,75,AT,1571105979,100,48.64,13.53,53.99600000000005,1.5
168,pyshchug,94,RU,1571105979,91,58.89,45.71,32.57600000000009,1.977
169,voyvozh,98,RU,1571105620,93,62.89,54.96,34.12400000000001,3.327
170,cervo,3,BR,1571105980,68,-22.19,-46.24,64.85,0.801
171,yamachiche,1,CA,1571105980,100,46.28,-72.83,44.99600000000005,1.0
172,dali,100,CN,1571105980,47,34.79,109.94,54.842,10.47
173,alice springs,87,AU,1571105598,8,-23.7,133.88,100.4,3.6
174,gibara,20,CU,1571105980,88,21.11,-76.13,78.80000000000001,3.1
175,lima,63,PE,1571105981,82,-12.06,-77.04,62.6,6.7
176,morondava,0,MG,1571105981,79,-20.3,44.28,69.78200000000001,0.382
177,aberystwyth,36,GB,1571105981,97,52.41,-4.08,48.992,1.812
178,jiangyou,100,CN,1571105557,96,31.78,104.73,52.28600000000007,1.104
179,shache,0,CN,1571105981,81,38.42,77.24,53.99600000000005,4.474
180,tiarei,75,PF,1571105621,69,-17.53,-149.33,80.6,4.6
181,san patricio,100,PY,1571105555,94,-26.98,-56.83,65.03000000000004,4.35
182,buraydah,20,SA,1571105982,43,26.33,43.97,73.4,1.5
183,lyuban,33,BY,1571105982,94,52.8,28.0,51.74600000000005,1.371
184,pandan,100,PH,1571105982,68,11.72,122.09,85.316,7.514
185,nikolskoye,90,RU,1571105453,80,59.7,30.79,39.2,3.0
186,prince albert,90,CA,1571105983,56,53.2,-105.75,41.0,4.1
187,constitucion,90,MX,1571105447,52,23.99,-104.67,69.00800000000001,2.6
188,luganville,90,VU,1571105465,78,-15.51,167.18,78.80000000000001,3.1
189,bathsheba,40,BB,1571105984,69,13.22,-59.52,82.4,8.2
190,fare,4,PF,1571105984,84,-16.7,-151.02,78.11600000000001,7.877
191,chegdomyn,36,RU,1571105984,31,51.13,133.04,37.07600000000009,1.517
192,hasaki,75,JP,1571105559,64,35.73,140.83,68.0,5.1
193,severo-kurilsk,100,RU,1571105460,73,50.68,156.12,36.06800000000008,9.895
194,parkent,91,UZ,1571105984,75,41.29,69.68,44.6,2.1
195,brindisi,0,IT,1571105984,93,40.63,17.94,64.00400000000005,2.6
196,bredasdorp,19,ZA,1571105467,76,-34.53,20.04,57.992,2.1
197,bouna,100,CI,1571105985,86,9.27,-3.0,74.58800000000005,2.632
198,ucluelet,75,CA,1571105591,76,48.94,-125.55,51.998000000000026,3.1
199,longyearbyen,75,NO,1571105565,79,78.22,15.63,23.0,1.0
200,nome,90,US,1571105630,94,30.04,-94.42,77.0,3.6
201,hamilton,75,CA,1571105464,70,43.26,-79.87,48.2,1.5
202,portland,90,US,1571105985,82,43.66,-70.25,57.2,4.749
203,carnarvon,0,ZA,1571105468,39,-30.97,22.13,51.54800000000003,6.604
204,kaeo,100,NZ,1571105986,100,-35.1,173.78,64.99400000000009,8.618
205,mao,40,DO,1571105986,78,19.55,-71.08,82.99400000000009,3.1
206,vaitape,12,PF,1571105584,83,-16.52,-151.75,77.81000000000009,8.42
207,abnub,0,EG,1571105987,64,27.27,31.15,71.6,5.1
208,puerto narino,75,CO,1571105987,100,-3.77,-70.38,78.80000000000001,0.244
209,pauini,100,BR,1571105987,96,-7.71,-67.0,71.51000000000008,0.523
